# object_id,ra,dec,value1,value2,color
123,0.5864524083671181,0.3097785537619333,qmril,odyyc,#54196f
124,0.7985139617916431,0.006589296928915411,fyjgv,zqron,#65471f
125,0.260861517142876,0.34570286642938164,vpdhr,fxala,#56b787
126,0.7497097915898432,0.2114775406115027,sbsha,ousuk,#261f37
127,0.025990134948174592,-0.013767240555118465,clayb,lknnp,#32ed57
128,0.16304013299656872,-0.41503790234598725,brjyb,vpopk,#e538f7
129,0.3346033117434757,0.1649433072157822,kambx,gvzrh,#9904cf
130,0.6541434162834874,-0.12469918624438048,ugzca,vzdvx,#b46a4f
131,0.7291651097788058,-0.05666186632048187,eiukz,xtptn,#2b215f
132,0.6251958077318905,0.3634425388798822,jisdf,wyovy,#b87f37
133,0.6147887695513525,-0.3068733158308893,mgbdu,tlama,#5023d7
134,0.045117013673369954,0.3918032732701304,cqqun,aljnm,#7a4537
135,0.1541923171402888,-0.2364875084950394,vqmkp,dksct,#ab46df
136,0.4133385956688497,-0.21031126333774186,bdxfr,xnkyn,#556f5f
137,0.2975545604026345,-0.2529354077739463,mbqje,iyimo,#e3482f
138,0.861917257340434,-0.017277718527537456,hjave,brayc,#847c3f
139,0.5459908123386197,0.3459480187682137,bmmqn,yzsmc,#a28f3f
140,0.34788058384726095,-0.28917819062366146,sjgem,fevxj,#7a3a3f
141,0.5933122632658335,-0.3836351875669204,uinyt,bvhfq,#925057
142,0.40964116747210366,0.3698869311823222,hcfti,mvbpw,#676507
143,0.7608011473671894,0.4857362808368467,kmrgs,fnwyj,#8bb09f
144,0.6428949497881912,0.28622679870544165,yyihk,xlvdo,#bbf6d7
145,0.2254128793137985,-0.0645774918549703,nnxzt,lfely,#b8512f
146,0.3140799064240414,0.49133958376565134,hfgaj,aqqdl,#846857
147,0.3644495716171785,0.07281987591758532,zzdqy,zunla,#a7698f
148,0.11492845574120836,-0.09674037659098678,hsmni,dojjz,#e3c22f
149,0.03053249927931556,-0.22174424129036208,iolrd,kyjgw,#6f172f
150,0.4882729546405127,0.034040811180699126,ykdea,nxiuw,#094def
151,0.8148952327510994,0.23043162052200516,urrji,cldwn,#bd8aaf
152,0.018062356498198984,0.34840988400033557,ylhbf,tpucm,#079aa7
153,0.13038166870242962,0.08739725230406492,gbppb,bjoql,#cc1807
154,0.17690130594856301,-0.13625366972557862,zaixz,hpaur,#0fb08f
155,0.15981024644697828,-0.18507983615707813,weweo,uxdip,#3234df
156,0.2563634302995976,0.3583249016099873,ogjfi,crhdi,#8b93c7
157,0.33740186997674004,-0.23452287811661432,qujnn,tzocp,#b094f7
158,0.9035030881591102,0.4530516301299763,daqzh,ilctl,#8e8b07
159,0.3692298134039944,-0.21448257041261154,xpbfk,gkbuk,#90354f
160,0.5008130240138391,-0.15815358578030236,ptmya,qfbsw,#8ebd1f
161,0.9776253085759532,0.36971506320903236,nwpzv,rlsye,#a6f267
162,0.9583837283671873,-0.05009036021978963,ztosy,vpuny,#8e47d7
163,0.4756753597995139,0.31290276193576994,kqdnj,lfzhr,#0707d7
