# object_id,ra,dec,value1,value2,color,marker_type
123,1.9210081357240743,-0.3246147078159599,fhybt,rkrvo,#c8514f,plus
124,1.1895410529455817,-0.22323063136861132,zmcnq,fejpu,#d4b0bf,circledHollowX
125,1.4974430173330946,-0.23831691295624813,nvuhi,xpbco,#4789f7,hollowPlus
126,1.1619313509229523,-0.4154898097662647,hzvzr,jnuee,#2eb64f,hollowX
127,1.8851505388659044,0.1026723733825502,haqax,vhxnq,#7adcef,hollowAsterisk
128,1.7418177637125574,-0.06536720125975293,twryg,kspgm,#662017,plus
129,1.0896835289037596,0.385115131686368,afdvq,nhtiq,#221907,square
130,1.547129716302262,0.2502773997986165,fpfzf,wvgre,#62fcaf,hollowPlus
131,1.2102624851987382,-0.16494147924310198,pkebh,elixg,#62ec87,x
132,1.2648642797577179,-0.3339521738588972,ivign,ovvex,#ac0487,diamond
133,1.8139511269175026,-0.2061454989395577,xctwd,slmff,#6f6977,dot
134,1.2473125205928655,0.20336046840333277,bjxro,ofplf,#e5ebbf,square
135,1.2031227206359414,-0.4700228413271784,gnmhm,mwjpy,#bdbf8f,pentagon
136,1.5974529645163682,0.23945368589616245,wwccn,lmlkp,#9f414f,asterisk
137,1.0492372239455094,0.4425250193455944,dycyu,bivtd,#4c999f,dot
138,1.5227120152846825,-0.2677796634046996,kbxrx,ycpum,#1409b7,diamond
139,1.9942012708166614,0.30124407453283397,aiwkl,mnzhh,#6ffbc7,diamond
140,1.8490621876298396,0.01139608334872333,renyg,dsmdp,#d782b7,x
141,1.115685203035904,-0.3258266370196363,rlziw,kethj,#8a9d17,triangle
142,1.7873234837184522,-0.4249047231283546,bgvsb,taesk,#4c6d1f,square
143,1.2531065094895508,0.22224847632068834,gzmtp,nowcw,#79a7b7,square
144,1.8023467473939248,0.23562643274877215,nztur,kztot,#3d4d2f,circledHollowPlus
145,1.7388954338793325,-0.21744629610264232,rwzwp,sktqz,#5d2e47,hollowPlus
146,1.79028971502742,-0.4671722223702649,juohh,ziydt,#30528f,circle
147,1.491479513384017,0.3137011346170967,vsdmk,httye,#ea9797,dot
148,1.7055253508230037,-0.4718600605981047,xvqdi,oqkmk,#f2888f,asterisk
149,1.3309300050955726,-0.17530755492846073,dagod,arwgf,#c869bf,square
150,1.5308230259306592,0.22858211039442422,hsuls,qofpl,#5c6fc7,dot
151,1.4558597039198955,-0.37111337473543426,tyggq,krxnh,#150fff,dot
152,1.2675292131790308,0.1918684132772399,sazsu,qgngf,#71e047,circledHollowAsterisk
153,1.1903627778359311,0.4973806377270982,lukio,apeyw,#12e63f,circle
154,1.6313620609290858,-0.30168462282711017,tbdda,fcloj,#9510a7,hollowX
155,1.86533181325481,0.27935846198488734,zcich,pimfs,#1d3fd7,diamond
156,1.3468705176147517,0.10067058664548367,uxrgt,dhote,#79a8af,circle
157,1.489591331176387,0.32602576654108795,lpiwo,ddvvh,#0a2c17,hollowPlus
158,1.1513208674674453,-0.25499106805733895,kabwi,uqiog,#525cff,pentagon
159,1.8250722378030773,0.17719543468610555,lsbcr,axaji,#bccb0f,square
160,1.7841005199337212,0.13149588619010877,pqrfb,mznyj,#71afaf,pentagon
161,1.8113747737674633,0.13850867479475815,sqhtd,fggfm,#2c2207,circledHollowX
162,1.2394035740293416,0.12857670991287018,obzzm,jfuta,#76e117,hollowAsterisk
163,1.5371242726756127,-0.48957398970854604,xnoxi,itjht,#bf4cf7,dot
164,1.869218153642973,0.4879790709129276,aptfq,huxnd,#14fc97,circledHollowX
165,1.9077880473106166,-0.47425171243810293,geoib,qifna,#a9a04f,hollowAsterisk
166,1.9736894257494324,0.14722626002790729,gitnc,qbsuy,#6ab2ff,x
167,1.7895175958959673,-0.3233923340031878,mwbfb,vbuhr,#2ba617,asterisk
168,1.3554583368469053,-0.2760382401043653,tyuba,kmiob,#c7dcff,circledHollowX
169,1.0885033783988534,0.4388333423413131,wajkm,zhtsa,#e12227,square
170,1.592675697241152,-0.2460640472944955,bjfww,zbvep,#05ae5f,hollowAsterisk
171,1.6376468127566564,0.30767963704951995,lzvnr,zvket,#7d0157,circledHollowX
172,1.351710910380071,-0.0772996639527429,njtfj,azdfa,#94ad47,dot
173,1.3365101725051765,-0.2794236441859149,jyaqx,eemof,#85ff1f,circledHollowX
174,1.5460246699898255,-0.4892028577990353,ptfxt,gauqz,#c1c3d7,circledHollowPlus
175,1.6682661729553434,-0.0738428122710405,xfvdd,tdncs,#747fe7,plus
176,1.9828974906398966,-0.41811591824768957,tepku,mxebf,#2866c7,x
177,1.637914659493453,-0.24576008039696284,zrzvu,qvihc,#a8fe07,hollowAsterisk
178,1.757513116611086,-0.1406479843029459,dfwyu,hbvya,#86cf2f,circle
179,1.1655041208103636,0.2330153367948774,fkkpm,lujjo,#86d33f,hollowX
180,1.805660399020908,0.3257358099073052,bzuuv,bnbbh,#c19ba7,plus
181,1.9224562888074312,0.4435261133113352,ecybu,fmhdh,#13ead7,plus
182,1.111492412371324,-0.2371827408201087,tbzxt,nbgsj,#14fbff,pentagon
183,1.9206456711933821,-0.1653273065087234,nenli,bzfae,#b2c10f,circledHollowPlus
184,1.4960917654416204,-0.4500723753303494,quusn,ezubl,#b1bb37,x
185,1.5957266594121076,0.2687447474920881,oajfl,darks,#60190f,hollowX
186,1.0534609243417643,-0.45535590197863096,mdrek,aamzk,#55302f,circledHollowPlus
187,1.0107304146629126,0.43466923300553895,lyrwk,obnmh,#6e23cf,circle
188,1.6033244153596602,0.03491263235676889,uzjcg,wainm,#2de07f,circledHollowPlus
189,1.6902568604594062,-0.29424935065666546,dqzbk,btxcc,#a97b97,dot
190,1.4049575300418091,-0.12896421018385495,yjbmq,vqipu,#e83b8f,diamond
191,1.386314971029911,-0.41256671876125706,hzvln,xyzjw,#97b257,hollowAsterisk
192,1.0296184366204617,0.18498525065673832,jwhkq,vxwsf,#91760f,x
193,1.0699114749175669,-0.1428067320744476,zvjme,lvlxg,#703ed7,x
194,1.1018593783236863,-0.012541528858893702,tdxzg,njrve,#083d7f,circledHollowAsterisk
195,1.8082827217419508,-0.16322317231116523,tgihp,ljfki,#5b9597,hollowPlus
196,1.0036789617125232,-0.36818017908761635,vozgp,lpmes,#304c3f,dot
197,1.6533062183052498,0.2557870668865322,owucz,zubus,#ba242f,plus
198,1.336854025054608,0.2784363610712276,ydhpb,zkvnf,#b31f27,hollowAsterisk
199,1.1347013479786336,0.19629261870442383,dsnzg,uqwgc,#275b27,hollowX
200,1.3482897457876566,-0.07416191176916387,qcoao,qvglt,#3a3777,circle
201,1.304245139719114,0.16830953991363806,hqdsw,yfqhp,#14e197,hollowX
202,1.6183605323189354,-0.43790025345646877,tbqgi,fjagc,#152d27,hollowPlus
203,1.7738126170975486,0.0453638364236324,hsjwp,nyomu,#e9509f,x
204,1.4431045803245852,0.4806315859013234,bhnkh,dxmch,#05bbff,diamond
205,1.1461974713846685,-0.27926375774211554,ihsmc,pwitk,#d9152f,plus
206,1.9612191940252028,-0.2969170304709986,gaefq,autjk,#78eb37,square
207,1.2403116811015842,-0.4287953161144299,jwhwu,iamcw,#55ffff,hollowX
208,1.9444491058040518,-0.18211517205976302,mpjsk,ffegr,#3dde97,hollowPlus
209,1.500446730483666,-0.31481601474962295,gnzdo,xdhjm,#866627,x
210,1.200324314612411,0.47096921315082463,likek,adhad,#305497,dot
211,1.7027562203393762,0.3377150192046887,qbync,jlouq,#c3c017,x
212,1.987863665908018,0.37366820763772113,advfr,wlnvt,#5aee97,diamond
213,1.2667027773116804,0.045608471383170035,salwn,bikzj,#f1f70f,circle
214,1.8004263184878404,-0.05997593110982369,jnsin,mlmiy,#c22e5f,diamond
215,1.4749073785380815,-0.28049485264984,xivvl,zfpsa,#db3147,hollowPlus
216,1.7511167868274002,0.28537250117868507,ldzjh,vvdcp,#cfc95f,x
217,1.0006784119037562,0.017660085068924358,gmjwp,xlntt,#69ff47,hollowX
218,1.913563433197503,-0.48961505652361836,cbcuy,khphx,#24eb17,hollowX
219,1.7566194648007638,-0.1295350412886086,euvxa,bolku,#283acf,plus
220,1.1964215938165923,0.4816427410817976,dwbcj,ealql,#d51587,asterisk
221,1.98598053223375,0.29050645602912084,aicgb,hhada,#acec97,hollowAsterisk
222,1.576407813885381,-0.2620356877808989,incxc,ldzeh,#f64c67,circledHollowPlus
223,1.9486804283345072,0.48082231323336455,enyrg,xujgn,#872c17,circledHollowX
224,1.6783437043374292,0.40799609494169164,xwqzg,wmpua,#0dd33f,diamond
225,1.6911415089473514,0.07738183383758301,xuygd,bdclo,#29cc57,plus
226,1.2194330587572828,0.32178113787659524,yjhxs,cngjz,#6ad6b7,triangle
227,1.1928731278521365,-0.4446065976215009,onpqv,cmenz,#e757c7,triangle
228,1.9906773366055248,-0.46429370812599613,hkxos,mztlj,#50f187,asterisk
229,1.9636157691269869,0.4762274325342565,hvlxm,foijo,#c85f17,asterisk
230,1.8593455323776915,0.06793604420648969,fpuei,bfoix,#6a9f67,square
231,1.4194667713079605,0.16147706810888185,ttvau,uqyhs,#27619f,hollowAsterisk
232,1.7912781366222887,0.12122500688959514,lwypv,crucg,#61837f,x
233,1.9844415352170546,0.28676667298256775,bomnw,jizlu,#dc267f,dot
234,1.3404469971044568,-0.4493464035928365,szdli,tdewa,#7fdd8f,x
235,1.9257742342433875,-0.15310076092539904,bghdr,fcvnk,#3e2c47,hollowX
236,1.8293256508627684,0.3953747354763254,maqwz,lhgog,#cd91b7,pentagon
237,1.2385812385426551,0.0006609535982033954,larua,ndtup,#751ee7,circledHollowPlus
238,1.0978843448590734,-0.46837363785411434,btvhj,jpvqz,#75c707,circledHollowAsterisk
239,1.1817709064124648,-0.46127097263378003,rpbtd,bdnug,#ee90d7,triangle
240,1.2792113702730208,-0.30137741240982796,ojxjq,guldz,#14bec7,plus
241,1.119500223416686,0.15848351757488832,yibha,riwzo,#dd1917,hollowAsterisk
242,1.354678815814486,0.26301742921031224,tkeot,jhixk,#71ed0f,circledHollowPlus
243,1.800981153880497,-0.4978806511927516,kgkui,ndyuq,#0bad0f,asterisk
244,1.5681402886789737,0.19708631422426537,vzkuf,krwkd,#74a997,x
245,1.3913136671363933,-0.03881418678628479,ovbiy,cywri,#82cd17,circledHollowAsterisk
246,1.931088048778735,-0.3136197593668959,pzaak,duxrc,#1743ff,plus
247,1.3687178728902003,0.4496442611738074,ygwgn,qwcfs,#8c6d67,circledHollowPlus
248,1.5880974329519746,-0.20427628455541968,gbsqp,afvvs,#c691e7,diamond
249,1.3149958156562889,-0.046233095621507014,sdzlv,owlur,#e36da7,plus
250,1.6376499623875547,-0.29264728520790007,lstfi,gqhyk,#1fad2f,pentagon
251,1.7346076443762048,-0.06294440375187937,rjjpj,wgftk,#7c0407,circledHollowPlus
